		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   25   27   21   21   29   28   33   17  8.180933 0.415999 SUCCESS   0
000000011   34   26   18   21   30   23   30   19 10.214534 0.250290 SUCCESS   1
000000101   25   29   25   24   25   31   29   26  3.801936 0.874537 SUCCESS   2
000000111   22   25   14   24   29   23   35   20 11.408084 0.179631 SUCCESS   3
000001001   31   15   22   23   22   25   23   24  6.263839 0.617704 SUCCESS   4
000001011   24   29   28   28   23   32   35   22  9.539315 0.298859 SUCCESS   5
000001101   22   24   26   26   26   20   24   17  3.721837 0.881308 SUCCESS   6
000001111   27   33   19   18   28   26   26   22  7.401120 0.494036 SUCCESS   7
000010001   22   23   27   24   29   22   23   31  3.690062 0.883949 SUCCESS   8
000010011   31   23   30   17   30   23   18   30 10.053673 0.261279 SUCCESS   9
000010101   24   35   19   24   21   24   19   23  7.823463 0.450902 SUCCESS  10
000010111   21   19   37   24   23   26   24   24  8.663516 0.371471 SUCCESS  11
000011001   26   23   24   24   18   23   25   25  2.052986 0.979344 SUCCESS  12
000011011   21   31   23   29   27   29   20   23  5.401941 0.713878 SUCCESS  13
000011101   32   27   33   25   27   28   27   21  7.497107 0.484066 SUCCESS  14
000011111   23   25   16   21   22   29   26   21  5.314560 0.723487 SUCCESS  15
000100011   30   27   24   25   24   22   22   27  2.419060 0.965398 SUCCESS  16
000100101   26   14   27   23   18   28   28   19  9.127564 0.331649 SUCCESS  17
000100111   22   27   23   19   27   16   21   34  9.518132 0.300487 SUCCESS  18
000101001   26   29   28   22   24   17   21   22  4.857794 0.772662 SUCCESS  19
000101011   25   27   25   25   20   28   26   22  2.054309 0.979301 SUCCESS  20
000101101   31   26   26   29   28   36   23   17 11.614622 0.169244 SUCCESS  21
000101111   26   18   32   25   24   27   21   24  5.096107 0.747256 SUCCESS  22
000110011   27   26   28   25   25   27   26   30  2.700402 0.951731 SUCCESS  23
000110101   25   28   21   26   21   13   25   24  7.178695 0.517481 SUCCESS  24
000110111   20   37   23   26   24   21   22   24  8.485443 0.387541 SUCCESS  25
000111001   29   25   23   29   28   36   23   24  8.233891 0.410963 SUCCESS  26
000111011   36   22   23   21   30   26   21   18 10.180112 0.252611 SUCCESS  27
000111101   15   31   27   26   33   24   22   12 15.881744 0.044104 SUCCESS  28
000111111   23   28   23   19   31   30   17   27  7.731448 0.460133 SUCCESS  29
001000011   25   20   31   22   18   24   27   22  5.196728 0.736358 SUCCESS  30
001000101   18   17   27   27   32   28   30   29  9.851108 0.275632 SUCCESS  31
001000111   28   26   17   32   26   22   28   21  6.816592 0.556544 SUCCESS  32
001001011   23   18   17   16   20   29   19   25 10.091406 0.258669 SUCCESS  33
001001101   29   24   29   21   28   20   23   26  3.850923 0.870317 SUCCESS  34
001001111   20   24   28   28   23   18   28   31  6.138725 0.631696 SUCCESS  35
001010011   28   25   19   30   27   17   18   16 10.457481 0.234373 SUCCESS  36
001010101   25   22   27   27   25   25   27   17  3.468960 0.901585 SUCCESS  37
001010111   24   21   24   24   16   19   25   23  4.830653 0.775513 SUCCESS  38
001011011   25   29   26   32   23   30   24   18  6.622632 0.577840 SUCCESS  39
001011101   24   24   29   14   29   27   22   28  7.468642 0.487013 SUCCESS  40
001011111   29   21   26   25   24   25   29   31  4.275914 0.831411 SUCCESS  41
001100101   27   26   30   27   26   25   17   25  4.469874 0.812440 SUCCESS  42
001100111   25   21   24   23   31   30   20   28  5.139135 0.742607 SUCCESS  43
001101011   32   27   31   28   30   15   31   20 12.868411 0.116458 SUCCESS  44
001101101   25   20   23   21   23   19   27   31  4.857794 0.772662 SUCCESS  45
001101111   23   31   19   29   25   25   17   29  7.307781 0.503819 SUCCESS  46
001110101   27   29   25   27   20   20   27   23  3.494778 0.899595 SUCCESS  47
001110111   37   23   28   21   27   29   25   22  9.292397 0.318233 SUCCESS  48
001111011   22   24   18   35   32   27   24   28 10.037786 0.262384 SUCCESS  49
001111101   18   22   16   24   22   33   28   23  8.983914 0.343655 SUCCESS  50
001111111   21   22   20   25   29   25   20   28  3.849599 0.870432 SUCCESS  51
010000011   29   28   25   21   25   19   21   23  3.773471 0.876961 SUCCESS  52
010000111   24   19   39   21   21   32   19   16 17.923951 0.021804 SUCCESS  53
010001011   17   23   26   28   30   28   23   23  5.104712 0.746328 SUCCESS  54
010001111   23   24   17   22   25   28   19   21  4.941203 0.763842 SUCCESS  55
010010011   30   27   23   26   29   20   30   27  5.140459 0.742464 SUCCESS  56
