		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 24.398438	M = 12500	N = 8	m = 9	n = 100000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   23   23   19   21   27   19   22   26  3.763541 0.877803 SUCCESS   0
000000011   33   26   16   28   28   23   21   28  8.452344 0.390575 SUCCESS   1
000000101   19   12   26   24   16   26   21   15 15.191299 0.055531 SUCCESS   2
000000111   32   25   26   35   30   24   23   27  9.039520 0.338973 SUCCESS   3
000001001   19   32   21   24   22   29   19   26  6.663013 0.573388 SUCCESS   4
000001011   25   17   25   18   20   24   23   19  6.228092 0.621699 SUCCESS   5
000001101   27   22   22   25   22   21   25   23  1.620713 0.990517 SUCCESS   6
000001111   35   27   24   28   29   21   23   24  7.080722 0.527949 SUCCESS   7
000010001   22   23   12   22   22   24   22   27  7.863844 0.446882 SUCCESS   8
000010011   33   34   22   29   31   25   21   22 10.775893 0.214724 SUCCESS   9
000010101   17   21   22   28   21   28   21   24  5.136487 0.742894 SUCCESS  10
000010111   24   14   25   19   20   21   19   23  8.464260 0.389481 SUCCESS  11
000011001   25   29   16   23   29   22   28   27  5.960652 0.651640 SUCCESS  12
000011011   25   20   25   19   24   21   27   27  3.154520 0.924289 SUCCESS  13
000011101   27   28   27   29   25   23   24   24  2.131761 0.976704 SUCCESS  14
000011111   30   32   20   21   22   26   23   16  8.509936 0.385306 SUCCESS  15
000100011   18   22   12   24   25   18   26   26 10.464763 0.233908 SUCCESS  16
000100101   21   19   19   25   17   22   23   25  5.634958 0.688046 SUCCESS  17
000100111   28   27   24   18   30   24   19   26  5.256968 0.729791 SUCCESS  18
000101001   18   21   33   21   23   26   26   19  7.382585 0.495972 SUCCESS  19
000101011   15   21   19   15   21   32   20   17 15.284638 0.053842 SUCCESS  20
000101101   25   28   22   27   35   30   25   22  7.445473 0.489418 SUCCESS  21
000101111   19   19   25   14   19   19   24   25  9.557189 0.297490 SUCCESS  22
000110011   27   29   29   25   21   18   27   35  9.368524 0.312167 SUCCESS  23
000110101   28   21   22   29   24   27   31   20  5.139135 0.742607 SUCCESS  24
000110111   25   17   28   27   35   25   21   26  8.545683 0.382057 SUCCESS  25
